総合危険度ランク,火災危険度ランク,建物倒壊危険度ランク,災害時活動困難度ランク,町丁目名
1,1,1,2,1289
1,1,1,1,1290
1,1,1,1,1291
1,1,1,1,1292
4,4,3,2,1293
4,4,4,3,1294
2,2,3,1,1295
1,1,2,1,1296
2,2,3,1,1297
1,1,2,1,1298
1,1,2,1,1299
1,1,1,2,1300
2,3,3,1,1301
4,3,3,3,1302
1,2,2,1,1303
3,3,3,1,1304
2,3,3,1,1305
3,3,4,1,1306
2,3,2,1,1307
2,2,2,1,1308
2,2,2,1,1309
1,2,2,1,1310
2,2,2,1,1311
4,4,4,2,1312
3,4,3,2,1313
3,3,3,2,1314
1,1,1,1,1315
1,1,1,1,1316
1,1,1,1,1317
1,1,1,1,1318
1,1,1,1,1319
1,1,1,1,1320
1,1,1,1,1321
3,3,3,1,1322
2,2,3,1,1323
2,1,2,2,1324
3,2,3,2,1325
3,4,3,2,1326
5,5,5,2,1327
1,2,2,1,1328
2,3,2,1,1329
2,2,2,2,1330
2,2,1,2,1331
3,3,2,2,1332
2,3,2,1,1333
2,3,2,2,1334
3,3,3,2,1335
3,3,2,2,1336
